Anastasia Silveri	1.77 m(5 ft 9.5 in)	1984	Moscow,,
Ben Weider	5 ft. 11 in.	1923	, Quebec, Canada
Bhupen Hazarika	170		,,
Cristian Villagrán	5'11" (180 cm)	1982	,
Elena Fanchini	1.64 m	1985	,
Eliza Taylor-Cotter	1.65nbsp;m (5nbsp;ft 5nbsp;in)		Melbourne, Australia
George Wood (actor)	5'9" (1.80nbsp;m)		Manchester, England
Graeme Brown	178cm		,
Huang Qiushuang	1.54m (5'1")		,
Jamie Davis	5 ft 11 ins		,,, UK
Juan Camilo Mejía	1.77mts	1981	Antioch,
Krisztián Budovinszky	1.93 cm		,
Alex Kavadias	182 cm; 6' 0"		Australia
Aubrey Miles	5' 5"	1978	,
Brian Conley	5' 11"	1961	,
Derryl Cousins	6' 0" inches	1946	,
Diego Moyano	5'9" (175 cm)		,Argentina
Fernando Carrillo	6' (1.83 m)	1966	,
Francisco Villanueva	6 ft 1.5 in (187 cm)	1985	,,
Hans-Dieter Beutel	6'1" (185 cm)		,
Hirokazu Yagi	1,67 m		,
Jorge Kahwagi	5 ft 7 in (170 cm)	1968	,
Antonio Fitch	5 ft 11 in (182 cm)	1986	,,
Brandi Glanville	(5 ft 10 in)	1972	, U.S.
Cruz Carbajal	5 ft 8 in (174 cm)	1974	,
Daryl Sutch	6 ft 0 in / 1.83 m	1971	,
Don Devereux	5 ft 9 in	1932	,
Glen Turner	184 cm		,
Jeremy Smith (rugby league born 1981)	182 cm (5 ft 11 in)	1981	,
Jorge Silva (boxer)	5 ft 11 in (182 cm)	1992	,,
Kirat Bhattal	5ft 6		,
Leonard Bisaku	5'10''	1974	,
Aubrey Plaza	5'6'' (1.68 m)	1984	,
Cleveland Williams	6' 3"	1933	United States
Cliff Richey	5'9" (175 cm)	1946	,
Darnell Hinson	187 cm		,
Darren Burns	1.86 m	1974	,
Diego Chávarri	1.76cm	1989	,,
Eric Zentner	6' 1" (185 cm)		,,,
Gerald Kean	6ft 4ins	1957	,
James Douglas, Jr.	5' 8"		,,
Jinya Nishikata	1,78 m		,
Lucas González Amorosino	)	1985	,
Alejandro Felix Montiel	5 ft 7 in (171 cm)	1971	,
Andrea Barber	5' 2" (1. 57m)	1976	,
Anuradha Mehta	5'9		India
Armand Krajnc	181 cm	1973	,
Armie Hammer	6' 5" (1.96 m)	1986	,
Gaby Huber	170 cm	1980	, Switzerland
Harry Burgess (footballer)	5nbsp;ft 8½nbsp;in (1.74nbsp;m)	1904	, England
James de la Rosa	5 ft 11 in (182 cm)	1987	,
Kirsty Hume	5'11" ; 180cm	1976	,
Lamont Peterson	5 ft 9 in (175 cm)	1984	,
Ashvarya Shrivastava	 		, India
Ayoola Erinle	6 ft 4 in (1.92 m)	1980	,
Brenton Bowen	5 ft 10 in (1.78 m)		,
Brian Wilson (tennis)	6'3" (190 cm)		,United States
Bryce Mortlock	6ft 1inch	1921	,
Craig Titus	5' 9"	1965	,
Gilberto Ramírez	6 ft 3 in (191 cm)	1991	,,
Jean-Christophe Faurel	5'9" (175 cm)		,France
Karl Rappan	?	1905	,
Kateryna Zubkova	5'7" (170 cm)	1988	,
Afshin Norouzi	179cm / 5'10"	1985	,
Alec Mazo	5' 11" (1.80 m)	1978	(now)
Alex Gordon (rugby union)	5 ft 8 in (1.8 m)	1991	Albany, NY, USA
Bill Clement (rugby union)	5ft. 10ins.	1915	,
Chris Cracknell (rugby union)	6 ft 2 in (1.88 m)		, England
César Bazán	6 ft 0 in (183 cm)	1974	,,
Daniel Conn	185 cm (6 ft 0 in)		, Australia
Daryl Corletto	6 ft 4 in (1.93 m)		,
Didac Perez	5'10" (178 cm)	1981	, Spain
Ian Wardle	5"10	1970	,
Ismail Mohamed	1.6m (5ft 4in)		,,
Jessica Corbin	5'7"	1978	,
Jesús Silvestre	5 ft 6 in (168 cm)	1987	,
Kyle Alandy Amor	5'11		,, U.S.
Benoît Vaugrenard	1.85 m	1982	, France
Damian Norris	6 ft 5 in (197 cm)	1981	,
Danilo Marcelino	6'4" (193 cm)		, Brazil
Eduardo Nicolas	5'8" (173 cm)		, Spain
Ewa Kasprzyk (athlete)	1.64 m		, Poland
Fernando Vargas	5′ 10″ / 178cm	1977	, United States
Horacio García	5 ft 8 in (174 cm)	1990	,
Ivan Valle	5 ft 10 in (179 cm)	1980	,
Juan Herrera	5 ft 10 in (180 cm)	1958	,
Li Qian (actress)	158 cm (5' 2")	1984	, China
Liu Yunfei	1.83 m		,
Adam Mogg	190cm	1977	,
Anthony Thompson (boxer)	5'11"	1981	,
Ernesto Calzadilla	185 cm	1974	,
Fabiola Zuluaga	1.72 m (5' 7.75")		,
Fred Buck	5 ft 6½ in (1.69 m)		, England
George Şoltuz	162 cm ; 81 kg		,
James Quinn (footballer)	6 ft 1½ in (1.87 m)		,
Jocelyn Osorio	177 cm		,
Lucas Marcal	1.83 m	1985	Itajubá-MG, Brazil
Alberto Garza	5 ft 10 in (180 cm)	1985	,,
Alejandro Aramburu	5'9" (175 cm)		, Peru
Alireza Jarahkar	1.86	1982	Islam Abad,
Anne-Caroline Chausson	1.73m (5'8")	1977	, France
Aronicimo Richotti	5' 10''	1979	,,
Denis Kornilov	179	1986	,
Diana Julianto	1.60 m		, Indonesia
Inna Zobova	(179 cm)		, Russia
Jhean Carlo Aparicio	6 ft 0 in (184 cm)	1986	,
Layne Redman	1.87m (6ft 1 in)		,,
Marco Crugnola	6'2" (188 cm)	1983	, Italy
Aaron Herrera	5 ft 11 in (182 cm)	1990	,
Alistair MacLean	5 feet 7 inches	1922	,
Asier Olaizola	1,86 m		,
Billy Cleaver	5 ft 9 in	1921	,
Brendan O'Connor (journalist)	6' 4" (1.93 m)		, Ireland
Cameron Smedley	5'10		,, Canada
Daniel Arnamnart	(2011)		,,
Deniz Akkoyun	1.78 m	1984	,
Elio De Anna	1.85 m	1949	,
Francesca Lubiani	5'6"/1.68 m		Bologna, Italy
Hilton Clarke	5.8		, Australia
Joel Luna Zárate	5 ft 6 in (168 cm)	1965	,,
Jose Imaz-Ruiz	5'10" (178 cm)		, Spain
Juan Carlos Arias Acosta	5'9"	1964	,
Julien Jeanpierre	6'2" (188 cm)	1980	, France
Luís Fuente	5 ft 7 in (170 cm)	1981	,
Adrian Diaconu	5 ft. 9 in. (175 cm.)		,
Gabor Veto	5 ft 11 in (182 cm)	1988	,
Iván Morales	5ft 7 in (171 cm)	1991	,,
James Chalmers (actor)	5' 11" (1.80 m)		,,
Jean Larribau	1 m 60	1889	, France
Luc Krotwaar	1.75 m	1968	,
Mallika Sarabhai	5' 6"	1954	,
Andrey Klimov	5 ft 10 in (178 cm)	1982	,
Aneta Kręglicka	173 cm	1965	,,
Arne Thoms	6'2" (188 cm)		,
Charly Gaul	1.73 m		,
Ilija Lupulesku	5'11"	1967	,,
Ionuț Moldovan	6'2" (188 cm)		, Romania
Jesús Magdaleno	5 ft 7 in (170 cm)	1991	,
Andie Valentino	5 ft 1 in (154 cm)		, U.S.A.
Artur Szpilka	6 ft 2.8 in (1.90 m)		,
Charlie Tonga	5 ft 10 in (1.78 m)		,
Ernie Fernandez	6'3" (190 cm)		, Puerto Rico
Gert-Jan Liefers	1.86 m	1978	,
Gunner Wright	6'	1973	,
Isidro García	5 ft 7 in (170 cm)	1976	,
Keith Jarrett (rugby)	6 ft		,
Kevin Michael Richardson	6.0	1964	,,
Aleksandar Karakašević	5'10"	1975	,,
Anubhav Mohanty	6' 1"	1981	,, India
Brody Jenner	6 ft 2 in (1.88 m)	1983	, United States
Chris Brightwell	1.9m	1984	, New Zealand
David Díaz (boxer)	5 ft. 6 in. (167 cm.)	1976	, USA
Frankie Sheahan	5 ft 11 in (1.80 m)	1976	Toronto
Gia Carangi	5 ft 7 in (1.70 m)	1960	,, U.S.
Inna Yoffe	5' 3" (160 cm)	1988	Soviet Union
Ionuţ Dan Ion	5 ft. 11 in. (180 cm.)	1981	,
Jonathon Schofield	182cm	1985	,,
José Toluco López	5 ft 7 in (170 cm)		La Laguna,,
Lars Berger	189 cm	1979	,
Luis Herrera (tennis)	5'7" (170 cm)		, Mexico
Carlos Castellan	6'3" (190 cm)	1962	, Argentina
Dinesh Kaushik	5 feet 9 inch		Bhatinda (Punjab)
Fernando Platas	5'5" (164 cm)	1973	,
Gustavo César	182 cm		Spain
James Murray (hurler)	182cm		,
Jansher Khan	6'1"	1969	Peshawar, Pakistan
Joachim Christensen	191 cm	1988	,
List of Playboy Playmates of 1968	5 ft 5 in	1944	, United States
Lyen Wong	168 cm	1974	,
M. C. Burton, Jr.	6' 5"	1937	,
Alberto Tous	5'9" (175 cm)		, Spain
Antonio Escalante	5 ft 7 in (172 cm)	1985	,,
Carlos Cuadras	5 ft 8 in (173 cm)	1988	,
Damon Keating	1.85 m		,
Felipe Campa	5 ft 7 in (171 cm)	1979	,
Holger Freitag	173 cm	1963	,
Isaac Boss	5 ft 10 in (1.78 m)	1980	, New Zealand
Jamie Noon	5 ft 10 in (1.78 m)	1979	,,
Juan José Jayo	1.70 cm	1973	,
Adam Brown (swimmer)	1.95m	1989	,
Andrew Dunemann	5 ft 10 ins (1.78 m)		,,
Aubrey Rinehart	5 ft 11 in		,
Biff Wellington	183 cm (6 ft 0 in)		,
Cliff Watson	5 ft 11½ in (182 cm)		,
Eddy Gragus	5'8"		, United States of America
Grant Doyle (tennis)	5'11" (180 cm)	1974	, Australia
Icuk Sugiarto	173 cm (5'8")	1962	,
Jackie Hughes	5ft 8ins		,
John John Florence	6'2"	1992	,,
Keith Griffiths	5ft 11"		,
Kristin Armstrong	5'8" (1.73 m)	1973	,,
Lelea Paea	183 cm (6 ft 0 in)	1983	,
Luis Carlos Arias	1.70m	1985	,
Maarten Heisen	1.78 m	1984	,
Mario Cimarro	1.80 m	1971	,
Alexander Muñoz	5 ft. 5½ in. (166 cm.)	1979	,
Alicja Bachleda-Curuś	168 cm	1983	,, Mexico
Brian Minto	5′ 11″	1975	,,
Darren Albert	5 ft 11 in (181 cm)		, Australia
David Schneider (tennis)	6'1" (185 cm)		,South Africa
Gene Kiniski	193 cm (6 ft 4 in)	1928	,,
Itatí Cantoral	5.41 ft	1975	,
Jayson Mansaray	5'9"		,
Jonathan Bryant	5 ft 11 in	1976	,
Ali Chebah	5 ft 9.5 in / 176 cm	1985	Mont-Saint-Aignan, Seine-Maritime,
Brooke Satchwell	5nbsp;ft 5nbsp;in (1.65nbsp;m)		Melbourne, Australia
Cathy Davis	5 feet 8 inches		, USA
Damien Delaney (Gaelic footballer)	6"		,
Flex Wheeler	5'9"	1965	,,
Frank Andoh	5ft 8"	1986	,
George Biagi	1.98 m	1985	,
Gérard Solvès	6'1" (185 cm)		,Paris, France
Janne Virtanen	6 ft 5 (196cm)	1969	,
Jesús Antonio Hernández	5 ft 8 in (174 cm)	1988	,
Joichiro Tatsuyoshi	165 cm	1970	,
Jules White	5' 9" (1.75 m)	1900	,
Luke Jensen	6'3" (190 cm)		, U.S.
Luke Jermay	5'6"	1985	Basildon,,
Alberto Jiménez	5 ft 6 in (168 cm)	1969	Colonia Valle Gomez,,
Damien Gaudin	1.90m	1986	, France
Jesse Owens	5'10		, Alabama, USA
Jonathan Cuenú	1.82 cm	1986	,,
Jonathan Humphreys	6ft	1969	,
Antonio Díaz	5 ft 10 in (180 cm)	1976	[Jiquilpan, Michoacán]],
Arkady Vyatchanin	6'6" (199 cm)	1984	,
Björn Nagel	188	78	,
Bob Morales	(5'10")	1963	, United States of America
Bogdan Oprea	6ft		,
Carl Davis Drumond	6'3"	1975	,
Cornelius Boza Edwards	5 ft 10 in (178 cm)	1956	,
David Caldwell (tennis)	5'11" (180 cm)		, Virginia,United States
Don Elgin	178cm		Donald, Victoria
Glen Hughes	6 ft 1 in (184 cm)		,,
Haydn Morgan	5 ft 10 in	1936	,
Laura Fenton	5'9"	1962	Lincoln, Nebraska
Laure Savasta	5 ft 8 in (1.73 m)	1974	,
Marcello Fiasconaro	6ft 3in		,
Aleksandr Perepechko	1.76 m	1989	,
Andy Gomarsall	5 ft 9 in (1.77 m)	1974	,
Brian Sánchez	6 ft 2 in (189 cm)	1989	,,
Eduardo Escobedo	5 ft 9 in (178 cm)	1984	,,
